,A,B,C,D,E,F,H,K,L
ConcatenatedReads_4AB_TP_1_all,0.20359869301319122,0.0,0.06007418781518936,0.0,0.0,0.7422571182250977,0.0,0.0,0.0
ConcatenatedReads_4AC_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4PA_TP_2_all,0.0,0.0,0.0,0.047119516879320145,0.0,0.028489885851740837,0.8646441102027893,0.0,0.0
ConcatenatedReads_5AA_TP_1_all,0.42790165543556213,0.0,0.0,0.0,0.0,0.0,0.2959012985229492,0.0,0.0
ConcatenatedReads_5AA_TP_3_all,0.356253445148468,0.0,0.0,0.3270404040813446,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5AB_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5AB_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5PA_TP_1_all,0.23198798298835754,0.07053717225790024,0.017931802198290825,0.5731000900268555,0.0,0.0,0.046822432428598404,0.039119161665439606,0.0
ConcatenatedReads_5PB_TP_3_all,0.6359981298446655,0.032219063490629196,0.061701446771621704,0.12084357440471649,0.0,0.0,0.07228915393352509,0.044598858803510666,0.0
ConcatenatedReads_6AA_TP_1_all,0.0,0.0,0.24078267812728882,0.0,0.6872681379318237,0.0,0.0,0.0,0.0
ConcatenatedReads_6PA_TP_1_all,0.0,0.0,0.0,0.45742443203926086,0.39593377709388733,0.0,0.0,0.0,0.0002684755891095847
ConcatenatedReads_7AA_TP_1_all,0.19044055044651031,0.7745266556739807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AA_TP_4_all,0.24728263914585114,0.733855128288269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AA_TP_5_all,0.37316200137138367,0.6297160387039185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AB_TP_1_all,0.40384429693222046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AB_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
